Idx_Sample,SiO2,CaO,SO3,FA (kg/m3),GGBFS (kg/m3),Coarse aggregate (kg/m3),Fine aggregate (kg/m3),Total aggregates,Na2SiO3,Na2O (Dry),Sio2 (Dry),Superplasticizer,water -eff,Slump - Target (mm),CO2 (kg/t) - A-priori Information,fc 28-d - Target (MPa)
1399,52.295,12.58,0.27,252,108,1090.8,774,1864.8,115.71429,13.31,34.71,14.4,107.80714,NaN,112.66807,NaN
1400,52.295,12.58,0.27,252,108,1090.8,774,1864.8,128.57143,14.79,38.57,14.4,118.82571,NaN,120.44818,NaN
1401,52.295,12.58,0.27,252,108,1090.8,774,1864.8,141.42857,16.26,42.43,14.4,129.84429,NaN,128.2283,NaN
1402,52.295,12.58,0.27,252,108,1090.8,774,1864.8,154.28571,17.74,46.29,14.4,140.86286,NaN,136.00841,NaN
1403,52.295,12.58,0.27,294,126,966,810.6,1776.6,135,15.53,40.5,16.8,125.775,NaN,129.53088,NaN
1404,52.295,12.58,0.27,294,126,966,810.6,1776.6,150,17.25,45,16.8,138.63,NaN,138.60768,NaN
1405,52.295,12.58,0.27,294,126,966,810.6,1776.6,165,18.98,49.5,16.8,151.485,NaN,147.68448,NaN
1406,52.295,12.58,0.27,294,126,966,810.6,1776.6,180,20.7,54,16.8,164.34,NaN,156.76128,NaN
1407,52.295,12.58,0.27,315,135,972,760.5,1732.5,144.64286,16.63,43.39,18,134.75893,NaN,137.96229,NaN
1408,52.295,12.58,0.27,315,135,972,760.5,1732.5,160.71429,18.48,48.21,18,148.53214,NaN,147.68743,NaN
1409,52.295,12.58,0.27,315,135,972,760.5,1732.5,176.78571,20.33,53.04,18,162.30536,NaN,157.41257,NaN
1410,52.295,12.58,0.27,315,135,972,760.5,1732.5,192.85714,22.18,57.86,18,176.07857,NaN,167.13771,NaN
1411,49.69,15.44,0.36,216,144,1090.8,774,1864.8,115.71429,13.31,34.71,14.4,107.80714,NaN,114.39607,NaN
1412,49.69,15.44,0.36,216,144,1090.8,774,1864.8,128.57143,14.79,38.57,14.4,118.82571,NaN,122.17618,NaN
1413,49.69,15.44,0.36,216,144,1090.8,774,1864.8,141.42857,16.26,42.43,14.4,129.84429,NaN,129.9563,NaN
1414,49.69,15.44,0.36,216,144,1090.8,774,1864.8,154.28571,17.74,46.29,14.4,140.86286,NaN,137.73641,NaN
1415,49.69,15.44,0.36,252,168,966,810.6,1776.6,135,15.53,40.5,16.8,125.775,NaN,131.54688,NaN
1416,49.69,15.44,0.36,252,168,966,810.6,1776.6,150,17.25,45,16.8,138.63,NaN,140.62368,NaN
1417,49.69,15.44,0.36,252,168,966,810.6,1776.6,165,18.98,49.5,16.8,151.485,135,149.70048,44.581
1418,49.69,15.44,0.36,252,168,966,810.6,1776.6,180,20.7,54,16.8,164.34,NaN,158.77728,NaN
1419,49.69,15.44,0.36,270,180,972,760.5,1732.5,144.64286,16.63,43.39,18,134.75893,NaN,140.12229,NaN
1420,49.69,15.44,0.36,270,180,972,760.5,1732.5,160.71429,18.48,48.21,18,148.53214,NaN,149.84743,NaN
1421,49.69,15.44,0.36,270,180,972,760.5,1732.5,176.78571,20.33,53.04,18,162.30536,NaN,159.57257,NaN
1422,49.69,15.44,0.36,270,180,972,760.5,1732.5,192.85714,22.18,57.86,18,176.07857,NaN,169.29771,NaN
1423,47.085,18.3,0.45,180,180,1090.8,774,1864.8,115.71429,13.31,34.71,14.4,107.80714,NaN,116.12407,NaN
1424,47.085,18.3,0.45,180,180,1090.8,774,1864.8,128.57143,14.79,38.57,14.4,118.82571,184,123.90418,59.6375
1425,47.085,18.3,0.45,180,180,1090.8,774,1864.8,141.42857,16.26,42.43,14.4,129.84429,NaN,131.6843,NaN
1426,47.085,18.3,0.45,180,180,1090.8,774,1864.8,154.28571,17.74,46.29,14.4,140.86286,NaN,139.46441,NaN
1427,47.085,18.3,0.45,210,210,966,810.6,1776.6,135,15.53,40.5,16.8,125.775,NaN,133.56288,NaN
1428,47.085,18.3,0.45,210,210,966,810.6,1776.6,150,17.25,45,16.8,138.63,162,142.63968,60.419
